,Year,Electron,Falcon 9,Atlas V,Titan,Soyuz/R-7,Space Shuttle,Delta II,Proton
0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,0.08333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2,0.16666666666666666,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
3,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
4,0.3333333333333333,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0
5,0.41666666666666663,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0
6,0.5,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0
7,0.5833333333333333,1.0,2.0,1.0,2.0,3.0,1.0,2.0,2.0
8,0.6666666666666666,2.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0
9,0.75,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0
10,0.8333333333333333,2.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0
11,0.9166666666666666,2.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0
12,1.0,2.0,2.0,3.0,5.0,5.0,3.0,2.0,4.0
13,1.0833333333333333,2.0,2.0,3.0,6.0,6.0,3.0,2.0,4.0
14,1.1666666666666665,2.0,2.0,3.0,7.0,7.0,3.0,2.0,4.0
15,1.25,2.0,2.0,3.0,8.0,8.0,4.0,2.0,4.0
16,1.3333333333333333,2.0,2.0,3.0,8.0,8.0,4.0,2.0,4.0
17,1.4166666666666665,2.0,2.0,3.0,9.0,8.0,4.0,2.0,4.0
18,1.5,3.0,2.0,3.0,9.0,8.0,4.0,2.0,4.0
19,1.5833333333333333,4.0,2.0,3.0,10.0,8.0,5.0,2.0,4.0
20,1.6666666666666665,4.0,2.0,3.0,11.0,8.0,5.0,2.0,5.0
21,1.75,4.0,2.0,3.0,14.0,9.0,5.0,2.0,6.0
22,1.8333333333333333,4.0,2.0,3.0,14.0,9.0,5.0,2.0,6.0
23,1.9166666666666665,5.0,2.0,3.0,14.0,9.0,5.0,2.0,6.0
24,2.0,6.0,3.0,3.0,15.0,11.0,6.0,3.0,6.0
25,2.083333333333333,6.0,3.0,3.0,15.0,11.0,6.0,3.0,6.0
26,2.1666666666666665,7.0,3.0,3.0,16.0,11.0,6.0,3.0,6.0
27,2.25,8.0,3.0,3.0,17.0,11.0,7.0,3.0,7.0
28,2.333333333333333,8.0,3.0,4.0,19.0,11.0,7.0,3.0,7.0
29,2.4166666666666665,9.0,4.0,4.0,20.0,11.0,8.0,3.0,8.0
30,2.5,9.0,4.0,4.0,22.0,11.0,8.0,4.0,8.0
31,2.583333333333333,10.0,4.0,5.0,23.0,13.0,8.0,4.0,8.0
32,2.6666666666666665,10.0,4.0,5.0,24.0,14.0,9.0,4.0,9.0
33,2.75,11.0,5.0,5.0,25.0,14.0,9.0,4.0,9.0
34,2.833333333333333,11.0,5.0,5.0,26.0,15.0,10.0,4.0,10.0
35,2.9166666666666665,11.0,5.0,5.0,27.0,16.0,10.0,4.0,10.0
36,3.0,11.0,5.0,6.0,27.0,16.0,11.0,5.0,11.0
37,3.083333333333333,12.0,5.0,6.0,29.0,18.0,11.0,5.0,11.0
38,3.1666666666666665,13.0,5.0,6.0,29.0,19.0,11.0,5.0,12.0
39,3.25,13.0,5.0,6.0,31.0,20.0,12.0,5.0,12.0
40,3.333333333333333,14.0,6.0,6.0,31.0,20.0,12.0,5.0,13.0
41,3.4166666666666665,14.0,6.0,7.0,32.0,22.0,13.0,5.0,14.0
42,3.5,16.0,7.0,7.0,33.0,24.0,14.0,6.0,14.0
43,3.583333333333333,17.0,7.0,7.0,34.0,25.0,15.0,6.0,15.0
44,3.6666666666666665,18.0,8.0,8.0,35.0,25.0,15.0,6.0,16.0
