Launch_Tag,Launch_JD,Launch_Date,LV_Type,Variant,Flight_ID,Flight,Mission,FlightCode,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Apogee,Apoflag,Range,RangeFlag,Dest,OrbPay,Agency,LaunchCode,FailCode,Group,Category,LTCite,Cite,Notes,Simple_Orbit,Launch_Vehicle_Family,Launch_Vehicle_Simplified,State,Country,Launch_Site_Parent,Launch_Site_Name,Payload_Mass,Orbit_Canonical_Date,Perigee,Inc,OpOrbit,First_Simple_Payload_Category,First_Payload_Class,General_Launch_Payload_Type,Launch_Year
2000-001,2451564.54,2000-01-21,Atlas IIA,-,AC-138 MLV-8/IABS-9,USA 148 (DSCS 3B-8),DSCS III B-8,MLV-8,-,CC,SLC36A,-,-,35800.0, ,    -, ,-,2.72,LMA,OS,-,CG/G,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,1232.0,2000-03-01,35780.0,1.0,GEO/S,Communications,D,Military,2000
2000-002,2451568.54,2000-01-25,Ariane 42L,42L-3,V126 L494,Galaxy 10R,Galaxy XR,-,-,CSG,ELA2,-,-,35778.0, ,    -, ,-,3.651,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",3651.0,2000-02-24,35673.0,0.05,GEO/D,Communications,B,Commercial,2000
2000-003,2451569.2,2000-01-25,Chang Zheng 3A,-,Y4,Zhongxing-22,Feng Huo 1,-,-,XSC,LC2,-,-,35792.0, ,    -, ,-,2.32,CALT,OS,-,G,Sat GTO O,CALT-PR,-,-,GTO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",2320.0,2000-02-24,35784.0,0.71,GEO/S,Communications,D,Eastern Military,2000
2000-004,2451570.63,2000-01-27,Minotaur I,-,1,P98-1 JAWSAT,JAWSAT,-,-,VS,SLC8,-,-,803.0, ,    -, ,-,0.123,RSLP,OS,-,CG/G,Sat SSO O,ASUSAT-WWW,-,-,SSO,Minuteman,Minotaur 1,US,United States,V,Vandenberg,122.685,2000-02-27,751.0,100.23,LEO/S,Tech Demo,C,Commercial,2000
2000-005,2451575.78,2000-02-01,Soyuz-U-PVB,-,A 15000-669,Progress M1-1,Progress 7K-TGM No. 250,-,-,GIK-5,LC1,-,-,348.0, ,    -, ,-,9.196,RAKA,OS,-,G,Sat LSS O,NK0004-14,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,7150.0,2000-03-02,342.0,51.65,LLEO/I,Other,C,Eastern Government,2000
2000-006,2451577.89,2000-02-03,Zenit-2,-,45025-801/1-94,Kosmos-2369,Tselina-2 No. 15L,-,-,GIK-5,LC45/1,-,-,854.0, ,    -, ,-,3.254,RVSNR,OS,-,G,Sat LEO O 4,NK0004-17,-,-,LEO,Zenit,Zenit,RU,Russia,GIK5,,3250.0,2000-03-04,846.0,71.01,LEO/I,Observation,D,Eastern Military,2000
2000-007,2451578.48,2000-02-03,Atlas IIAS,-,AC-158,Hispasat 1C,Hispasat 1C,-,-,CC,SLC36B,-,-,35802.0, ,    -, ,-,3.112,LMA,OS,-,C,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,3112.0,2000-03-07,35770.0,0.06,GEO/S,Communications,C,Commercial,2000
2000-008,2451583.39,2000-02-08,Delta 7420-10C,-,D276,Globalstar-7,Globalstar D-7,-,-,CC,SLC17B,-,-,931.0, ,    -, ,-,1.8,BLS,OS,-,CO,Sat LEO L,Wire,-,-,LEO,Thor,Delta 2,US,United States,CC,Canaveral,1800.0,2000-03-09,913.0,52.0,LEO/I,Communications,B,Commercial,2000
2000-009,2451583.47,2000-02-08,Soyuz-U-PVB,Fregat,A 15000-079/1001,IRDT/GVM,Dummy satellite,ST07,-,GIK-5,LC31,-,-,606.0, ,    -, ,-,0.966,STSM,OS,-,CO/G,Sat LEO R,NK0004-24,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,966.0,2000-02-15,581.0,64.86,LLEO/I,Tech Demo,B,Commercial,2000
2000-U01,2451584.56,2000-02-10,M-V,-,M-V-4,ASTRO E,ASTRO E,-,-,KASC,M-V,-,-,, ,    -, ,-,1.65,ISAS,OF,S1P*,G,Sat LEO O,Wire,-,"S1 nozzle fail, uppers fired",LEO,MV,M-V,J,Japan,KASC,"Kagoshima Space Center, Kagoshima, Kyushu, Nippon",,,,,,,,Government,2000
2000-010,2451586.24,2000-02-11,Space Shuttle,-,STS-99,SRTM (SRL-3),OV-105 Spacelab,-,MLP3,KSC,LC39A,-,-,242.0, ,    -, ,-,109.915,JSC/MSFC,OS,-,G,Sat LEO SR,Wire,-,-,LEO,SRB,Space Shuttle,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",95593.0,2000-02-13,224.0,57.01,LLEO/I,Other,C,Government,2000
2000-011,2451586.88,2000-02-12,Proton-K/DM-2M,DM3,399-02,Garuda 1,Garuda 1,-,-,GIK-5,LC81/23,-,-,35796.0, ,    -, ,-,4.5,ILSK,OS,-,CO,Sat GTO SO 1,NK0004-32,-,-,GTO,Proton,Proton,RU,Russia,GIK5,,4500.0,2000-03-14,35774.0,2.99,GEO/S,Communications,B,Commercial,2000
2000-012,2451592.54,2000-02-18,Ariane 44LP,44LP-3,V127 L495,Superbird 4,Superbird 4,-,-,CSG,ELA2,-,-,35816.0, ,    -, ,-,4.057,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",4057.0,2000-03-19,35757.0,0.03,GEO/S,Communications,B,Commercial,2000
2000-013,2451615.67,2000-03-12,Proton-K/DM-2M,DM-2M,399-01,Ekspress A No. 2,Ekspress A No. 2,-,-,GIK-5,LC200/39,-,-,35794.0, ,    -, ,-,3.32,KHRU,OS,-,G,Sat GEO OO 3,NK0005-20,-,-,GEO,Proton,Proton,RU,Russia,GIK5,,2300.0,2000-04-11,35781.0,0.15,GEO/S,Communications,B,Eastern Government,2000
2000-014,2451615.9,2000-03-12,Taurus 1110,-,T5,MTI,MTI,-,-,V,576E,-,-,613.0, ,    -, ,-,0.597,OSCC,OS,-,CG/G,Sat SSO O,Wire,-,-,SSO,MX,Taurus,US,United States,V,Vandenberg,597.0,2000-04-12,573.0,97.4,LLEO/S,Science,D,Military,2000
2000-F02,2451616.12,2000-03-12,Zenit-3SL,-,2L/DM-SL-2L,SL3 ICO F-1,ICO F1,67043-703,ODYSSEY,KLA,-,-,-,, ,    -, ,-,2.75,SEALC,OF,S2P,CO/C,Sat GTO O,Wire,-,Vernier commanding error,GTO,Zenit,Zenit,KI,Kiribati,KLA,"Sea Launch Kiritimati Launch Area, Pacific Ocean",,,,,,,,Commercial,2000
2000-015,2451624.27,2000-03-20,Soyuz-U-PVB,Fregat,A 15000-068/1002,Dumsat,Dumsat,ST08,-,GIK-5,LC31,-,-,18014.0, ,    -, ,-,3.382,STSM,OS,-,CO/G,Sat HEO O,NK0005-27,-,-,HEO,R-7,Soyuz,RU,Russia,GIK5,,1191.0,2000-03-29,244.0,64.66,HEO,Tech Demo,B,Commercial,2000
2000-016,2451625.48,2000-03-21,Ariane 5G,-,V128 (505),Asiastar/Insat 3B,Asiastar,-,-,CSG,ELA3,-,-,35794.0, ,    -, ,-,5.287,AE,OS,-,CO,Sat GTO SO 1,AE-TV,-,-,GTO,Ariane5,Ariane 5,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",4847.0,2000-04-20,35781.0,0.01,GEO/S,Communications,B,Commercial,2000
2000-017,2451629.36,2000-03-25,Delta 7326-9.5,-,D277,IMAGE,IMAGE,-,-,V,SLC2W,-,-,45925.0, ,    -, ,-,0.496,BLS,OS,-,CG,Sat HEO OO,Wire,-,-,HEO,Thor,Delta 2,US,United States,V,Vandenberg,494.0,2000-04-26,1055.0,89.83,HEO,Science,C,Commercial,2000
2000-018,2451638.71,2000-04-04,Soyuz-U-PVB,-,A 15000-665,Soyuz TM-30,Soyuz 7K-STM No. 204,-,-,GIK-5,LC1,-,-,384.0, ,    -, ,-,7.12,RAKA,OS,-,G,Sat LSS O,NK0006-08,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,2740.0,2000-05-05,358.0,51.65,LLEO/I,Other,C,Eastern Government,2000
2000-019,2451652.38,2000-04-17,Proton-K/DM-2M,DM-2M,397-01,Sesat,SESAT,-,-,GIK-5,LC200/39,-,-,35792.0, ,    -, ,-,3.512,KHRU,OS,-,G,Sat GEO OO 3,NK0006-26,-,-,GEO,Proton,Proton,RU,Russia,GIK5,,2600.0,2000-05-17,35781.0,0.04,GEO/S,Communications,C,Eastern Government,2000
2000-020,2451653.52,2000-04-19,Ariane 42L,42L-3,V129 L496,Galaxy 4R,Galaxy IVR,-,-,CSG,ELA2,-,-,35888.0, ,    -, ,-,3.668,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",3668.0,2000-05-19,35780.0,0.01,GEO/D,Communications,B,Commercial,2000
2000-021,2451660.34,2000-04-25,Soyuz-U-PVB,-,A 15000-664,Progress M1-2,Progress M1 No. 252,-,-,GIK-5,LC1,-,-,380.0, ,    -, ,-,9.421,RAKA,OS,-,G,Sat LSS O,NK0006-16,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,7150.0,2000-05-25,363.0,51.65,LLEO/I,Other,C,Eastern Government,2000
2000-022,2451667.8,2000-05-03,Atlas IIA,-,AC-137,GOES L,GOES L,-,-,CC,SLC36A,-,-,35794.0, ,    -, ,-,2.105,ILSL,OS,-,C/G,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,2105.0,2000-06-08,35782.0,0.21,GEO/S,Observation,C,Commercial,2000
2000-023,2451668.06,2000-05-03,Soyuz-U-PVB,-,A 15000-649,Kosmos-2370,Neman,-,-,GIK-5,LC1,-,-,297.0, ,    -, ,-,7.0,RVSNR,OS,-,G,Sat LEO O,NK0007-32,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,3790.0,2000-06-24,240.0,64.75,LLEO/I,Observation,D,Eastern Military,2000
2000-024,2451673.17,2000-05-08,Titan 402B/IUS,-,4B-29,USA 149      [DSP20],DSP 18?,-,-,CC,LC40,-,-,35970.0, ,    -, ,-,2.361,3SLS/AFSMC,OS,-,G,Sat GEO OOO,Wire,-,-,GEO,Titan,Titan 4,US,United States,CC,Canaveral,2360.0,2000-05-09,35911.0,2.9,GEO/D,EW*,D,Military,2000
2000-025,2451675.58,2000-05-11,Delta 7925-9.5,-,D278,USA 150 (GPS IIR-4),Navstar GPS SVN 51,-,-,CC,SLC17A,-,-,20234.0, ,    -, ,-,2.033,BLS,OS,-,CG,Sat MTO BO 1,Wire,-,-,MEO,Thor,Delta 2,US,United States,CC,Canaveral,1077.0,2000-06-11,20133.0,54.9,MEO,Communications,D,Military,2000
2000-026,2451680.85,2000-05-16,Rokot,-,630-6992-011P/72501,Simsat-1/2,EPN 813IP/003 (Iridium),-,-,GIK-1,LC133/3,-,-,557.0,?,    -, ,-,1.317,EUROK,OS,-,CO,Sat LEO P,Eurockot-WWW,-,-,LEO,UR-100N,Rokot,RU,Russia,GIK1,,1317.0,2000-05-24,543.0,86.38,LLEO/P,Tech Demo,B,Commercial,2000
2000-027,2451683.92,2000-05-19,Space Shuttle,-,STS-101,ISS 2A.2a,OV-104 ISS,-,MLP1,KSC,LC39A,-,-,333.0, ,    -, ,-,123.299,JSC/MSFC,OS,-,G,Sat ISS SR,Wire,-,-,LEO,SRB,Space Shuttle,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",101377.0,2000-05-21,319.0,51.58,LLEO/I,Other,C,Government,2000
2000-028,2451689.47,2000-05-24,Atlas 3A,-,AC-201,Eutelsat W4,Eutelsat W4,-,-,CC,SLC36B,-,-,35978.0, ,    -, ,-,3.19,ILSL,OS,-,C,Sat STO O,Wire,-,-,GTO,Atlas,Atlas 3,US,United States,CC,Canaveral,3190.0,2000-07-08,35600.0,0.01,GEO/S,Communications,B,Commercial,2000
2000-029,2451701.62,2000-06-06,Proton-K/Briz-M,-,392-01/88502,Gorizont No. 45,Gorizont No. 45L,-,-,GIK-5,LC81/24,-,-,35786.0, ,    -, ,-,3.158,KHRU,OS,-,G,Sat GEO SO 1,NK0008-16,-,-,GEO,Proton,Proton,RU,Russia,GIK5,,2158.0,2000-07-06,35783.0,1.39,GEO/S,Communications,C,Eastern Government,2000
2000-030,2451703.06,2000-06-07,Pegasus XL,-,F29,TSX-5,TSX-5,-,L-1011,V,RW30/12,WTR,PAWA,1704.0, ,    -, ,-,0.25,OSC,OS,-,CG/G,Sat LEO O,Wire,-,-,LEO,Pegasus,Pegasus,US,United States,V,Vandenberg,250.0,2000-06-19,403.0,68.95,LEO/I,Tech Demo,D,Military,2000
2000-031,2451719.52,2000-06-24,Proton-K/DM-2M,DM-2M,394-02,Ekspress A No. 3,Ekspress-A No. 3,-,-,GIK-5,LC200/39,-,-,35795.0, ,    -, ,-,3.62,KHRU,OS,-,G,Sat GEO OO 3,NK0008-23,-,-,GEO,Proton,Proton,RU,Russia,GIK5,,2600.0,2000-08-01,35780.0,0.13,GEO/S,Communications,C,Eastern Government,2000
2000-032,2451720.99,2000-06-25,Chang Zheng 3,-,Y12,Feng Yun 2,Feng Yun Er Yi,-,-,XSC,LC3?,-,-,35804.0, ,    -, ,-,1.38,CALT,OS,-,G,Sat GTO O,CALT-WWW,-,-,GTO,DF5,Long March 3,CN,China,XSC,"Xichang Space Center (Songlin), Sichuan, China",651.0,2000-07-03,35791.0,1.07,GEO/D,Observation,C,Eastern Government,2000
2000-033,2451723.94,2000-06-28,Kosmos 11K65M,-,53752-105,Nadezhda/Tsinghua,Nadezhda 17F118 No. 701,-,-,GIK-1,LC132/1,-,-,707.0, ,    -, ,-,0.926,RVSNR,OS,-,G,Sat SSO O,NK0008-25,-,-,SSO,R-14,Kosmos,RU,Russia,GIK1,,926.0,2000-07-07,683.0,98.12,LEO/S,Communications,C,Eastern Government,2000
2000-034,2451726.04,2000-06-30,Atlas IIA,-,AC-139,TDRS 8,TDRS H,-,-,CC,SLC36A,-,-,35899.0, ,    -, ,-,3.18,ILSL,OS,-,C/G,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,3180.0,2000-12-14,35669.0,6.72,GEO/I,Communications,C,Commercial,2000
2000-035,2451726.42,2000-06-30,Proton-K/DM-2M,DM3,400-01,Sirius CD Radio 1,Sirius CD Radio 1,-,-,GIK-5,LC81/24,-,-,47100.0, ,    -, ,-,4.6,ILSK,OS,-,CO,Sat HEO OO 1,NK0008-35,-,-,HEO,Proton,Proton,RU,Russia,GIK5,,3800.0,2000-07-07,23783.0,63.34,GEO/NS,Communications,B,Commercial,2000
2000-036,2451730.49,2000-07-04,Proton-K/DM-2,-,389-02,Kosmos-2371,Geizer No. 22L,-,-,GIK-5,LC200/39,-,-,35916.0, ,    -, ,-,3.12,KHRU,OS,-,G,Sat GEO OO 3,NK0009-24,-,-,GEO,Proton,Proton,RU,Russia,GIK5,,2100.0,2000-07-11,35872.0,1.44,GEO/D,Communications,D,Eastern Military,2000
2000-037,2451737.71,2000-07-12,Proton-K,-,398-01,Zvezda,77KSM No. 128-01,ISS 1R,-,GIK-5,LC81/23,-,-,358.0, ,    -, ,-,20.3,KHRU,OS,-,G,Sat ISS O,NK0009-02,Kosmodrom00-08,-,LEO,Proton,Proton,RU,Russia,GIK5,,20295.0,2000-07-14,288.0,51.58,LLEO/I,Other,C,Eastern Government,2000
2000-038,2451739.72,2000-07-14,Atlas IIAS,-,AC-161,Echostar VI,Echostar VI,-,-,CC,SLC36B,-,-,35917.0, ,    -, ,-,3.7,ILSL,OS,-,C,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,3700.0,2000-07-21,33980.0,0.17,GEO/D,Communications,B,Commercial,2000
2000-039,2451741.0,2000-07-15,Kosmos 11K65M,-,47136-414,CHAMP/BIRD/MITA,MITA-NINA,-,-,GIK-1,LC132/1,-,-,473.0, ,    -, ,-,0.699,RVSNR,OS,-,G/OG,Sat LEO O,NK0009-29,-,-,LEO,R-14,Kosmos,RU,Russia,GIK1,,699.0,2000-07-22,415.0,87.27,LLEO/P,Science,C,Eastern Government,2000
2000-040,2451741.89,2000-07-16,Delta 7925-9.5,-,D279,USA 151 (GPS IIR-5),Navstar GPS SVN 44,-,-,CC,SLC17A,-,-,20427.0, ,    -, ,-,2.033,BLS,OS,-,CG,Sat MTO BO 1,Wire,-,-,MEO,Thor,Delta 2,US,United States,CC,Canaveral,1077.0,2000-07-27,20184.0,55.06,MEO,Communications,D,Military,2000
2000-041,2451742.03,2000-07-16,Soyuz-U-PVB,Fregat,A 15000-069/1003,Cluster FM6/FM7,Cluster FM7 (C3),ST09,-,GIK-5,LC31,-,-,120923.0, ,    -, ,-,2.372,STSM,OS,-,CO/G,Sat HEO D,NK0009-35,-,-,HEO,R-7,Soyuz,RU,Russia,GIK5,,2372.0,2000-07-31,17008.0,90.56,VHEO,Science,C,Commercial,2000
2000-042,2451745.34,2000-07-19,Minotaur I,-,2,Mightysat 2.1,Mightysat 2.1,-,-,VS,SLC8,-,-,585.0, ,    -, ,-,0.126,RSLP,OS,-,CG/G,Sat SSO O,Wire,-,-,SSO,Minuteman,Minotaur 1,US,United States,V,Vandenberg,125.25,2000-07-27,548.0,97.8,LLEO/S,Tech Demo,D,Military,2000
2000-043,2451754.45,2000-07-28,Zenit-3SL,-,5?/DM-SL-4L,SL4 PAS 9,PAS 9,51021-102,ODYSSEY,KLA,-,-,-,35786.0, ,    -, ,-,3.65,SEALC,OS,-,CO/C,Sat GTO O,NK0009-45,-,-,GTO,Zenit,Zenit,KI,Kiribati,KLA,"Sea Launch Kiritimati Launch Area, Pacific Ocean",3650.0,2000-08-04,35444.0,0.07,GEO/D,Communications,B,Commercial,2000
2000-044,2451763.27,2000-08-06,Soyuz-U-PVB,-,K 15000-668,Progress M1-3,Progress M1 No. 251,ISS 1P,-,GIK-5,LC1,-,-,362.0, ,    -, ,-,9.396,RAKA,OS,-,G,Sat ISS O,NK0010-17,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,7281.0,2000-08-13,347.0,51.58,LLEO/I,Other,C,Eastern Government,2000
2000-045,2451765.97,2000-08-09,Soyuz-U-PVB,Fregat,A 15000-070/1004,Cluster FM5/FM8,Cluster FM5 (C1),ST10,-,GIK-5,LC31,-,-,120715.0, ,    -, ,-,2.372,STSM,OS,-,CO/G,Sat HEO D,NK0010-02,-,-,HEO,R-7,Soyuz,RU,Russia,GIK5,,2372.0,2000-08-17,17240.0,90.89,VHEO,Science,C,Commercial,2000
2000-046,2451774.47,2000-08-17,Ariane 44LP,44LP-3,V131 L4097,Brasil B4/Nilest 102,Brasilsat B4,-,-,CSG,ELA2,-,-,35807.0, ,    -, ,-,3.95,AE,OS,-,CO,Sat GTO O 1,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",3550.0,2001-02-21,35765.0,0.05,GEO/S,Communications,C,Commercial,2000
2000-047,2451774.49,2000-08-17,Titan 403B,?,4B-28,USA 152      [LAC4],ONYX 4,NROL-11,-,VS,SLC4E,-,-,677.0, ,    -, ,-,9.0,2SLS/AFSMC,OS,-,G,Sat LEO O,Wire,-,-,LEO,Titan,Titan 4,US,United States,V,Vandenberg,9000.0,2000-08-19,574.0,68.0,LEO/I,IMG-R*,D,Military,2000
2000-048,2451779.96,2000-08-23,Delta 8930,-,D280,DM-F3,DM-F3,-,-,CC,SLC17B,-,-,20629.0, ,    -, ,-,4.348,BLS,OS80,S2U2,CO,Sat GTO O,Wire,-,Underperformed,GTO,Thor,Delta 3,US,United States,CC,Canaveral,4348.0,2000-08-26,187.0,27.63,HEO,Tech Demo,B,Commercial,2000
2000-049,2451785.34,2000-08-28,Proton-K/DM-2,-,401-02,Raduga-1,Globus No. 16L,-,-,GIK-5,LC81/24,-,-,36553.0, ,    -, ,-,3.52,KHRU,OS,-,G,Sat GEO OO 3,NK0010-13,Space.com,-,GEO,Proton,Proton,RU,Russia,GIK5,,2500.0,2000-08-30,36377.0,2.21,GEO/D,Communications,D,Eastern Military,2000
2000-050,2451788.64,2000-09-01,Chang Zheng 4B,-,Y3,ZY-2,ziyuan erhao 01 xing,-,-,TYSC,LC7,-,-,492.0, ,    -, ,-,1.45,SAST,OS,-,G,Sat SSO O,Wire,-,-,SSO,DF5,Long March 4,CN,China,TYSC,Taiyuan weixing fashe zhongxin,1450.0,2000-09-05,474.0,97.42,LLEO/S,Observation,D,Eastern Military,2000
2000-051,2451792.91,2000-09-05,Proton-K/DM-2M,DM3,400-02,Sirius CD Radio 2,Sirius CD Radio 2,-,-,GIK-5,LC81/23,-,-,47173.0, ,    -, ,-,4.6,ILSK,OS,-,CO,Sat HEO OO 1,NK0011-29,-,-,HEO,Proton,Proton,RU,Russia,GIK5,,3800.0,2009-07-01,24394.0,63.73,GEO/T,Communications,B,Commercial,2000
2000-052,2451794.44,2000-09-06,Ariane 44P,44P-3,V132 L4098,Eutelsat W1,Eutelsat W1,-,-,CSG,ELA2,-,-,35801.0, ,    -, ,-,3.25,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",3250.0,2001-04-21,35770.0,0.05,GEO/S,Communications,C,Commercial,2000
2000-053,2451796.03,2000-09-08,Space Shuttle,-,STS-106,ISS 2A.2b,OV-104 ISS,-,MLP2,KSC,LC39B,-,-,324.0, ,    -, ,-,125.189,JSC/MSFC,OS,-,G,Sat ISS SR,Wire,-,-,LEO,SRB,Space Shuttle,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",100416.0,2000-09-08,158.0,51.58,LLEO/I,Other,C,Government,2000
2000-054,2451802.45,2000-09-14,Ariane 5G,-,V130 (506),Astra 2B/GE 7,Astra 2B,-,-,CSG,ELA3,-,-,35822.0, ,    -, ,-,5.69,AE,OS,-,CO,Sat GTO SO 1,Wire,-,-,GTO,Ariane5,Ariane 5,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",5250.0,2001-05-21,35748.0,0.08,GEO/S,Communications,B,Commercial,2000
2000-055,2451808.93,2000-09-21,Titan II SLV,-,23G-13,NOAA 16,NOAA L,-,-,VS,SLC4W,-,-,863.0, ,    -, ,-,2.231,2SLS/AFSMC,OS,-,G,Sat SSO A,Wire,-,-,SSO,Titan,Titan 2,US,United States,V,Vandenberg,1403.0,2000-09-23,848.0,98.79,LEO/S,Observation,C,Government,2000
2000-056,2451812.92,2000-09-25,Zenit-2,-,67013-303/16NI,Kosmos-2372,Yenisey,-,-,GIK-5,LC45/1,-,-,335.0, ,    -, ,-,12.008,RVSNR,OS,-,G,Sat LEO O 4,NK0011-36,-,-,LEO,Zenit,Zenit,RU,Russia,GIK5,,4150.0,2000-09-26,210.0,64.78,LLEO/I,Observation,D,Eastern Military,2000
2000-057,2451813.92,2000-09-26,Dnepr,-,450-8752-403,Tiungsat/Megsat-1/,Dnepr Rideshare 1,GCh 15F183,-,GIK-5,LC109/95,-,-,642.0, ,    -, ,-,0.188,KTRAS/RVSNR,OS,-,CO,Sat LEO O 1,NK0011-40,-,-,LEO,R-36,Dnepr,RU,Russia,GIK5,,138.0,2000-10-11,633.0,64.56,LEO/I,Observation,C,Commercial,2000
2000-058,2451816.9,2000-09-29,Soyuz-U-PVB,-,76023  -462 075,Kosmos-2373,Kometa No. 20?,-,-,GIK-5,LC31,-,-,285.0, ,    -, ,-,6.3,RVSNR,OS,-,G,Sat LEO O,NK0011-46,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,2720.0,2000-10-11,211.0,70.34,LLEO/I,Observation,D,Eastern Military,2000
2000-059,2451819.42,2000-10-01,Proton-K/DM-2M,DM3,401-01,GE-1A,GE-1A,-,-,GIK-5,LC81/23,-,-,35776.0, ,    -, ,-,4.393,ILSK,OS,-,CO,Sat GTO OO 1,NK0012-38,-,-,GTO,Proton,Proton,RU,Russia,GIK5,,3593.0,2000-10-11,35768.0,0.05,GEO/D,Communications,B,Commercial,2000
2000-060,2451824.46,2000-10-06,Ariane 42L,42L-3,V133 L4099,N-SAT-110,Superbird 5,-,-,CSG,ELA2,-,-,35789.0, ,    -, ,-,3.531,AE,OS,-,CO,Sat GTO O,Wire,-,-,GTO,Ariane,Ariane 4,GUF,French Guiana,CSG,"Centre Spatial Guyanais, Kourou, Guyane Francaise",3531.0,2001-02-28,35784.0,0.06,GEO/S,Communications,B,Commercial,2000
2000-061,2451826.73,2000-10-09,Pegasus H,-,F30/P-35,HETE 2,HETE 2,-,L-1011,KMR,RW06/24,KMR,LP1,636.0, ,    -, ,-,0.124,OSC,OS,-,CG/G,Sat LEO O,Wire,-,-,LEO,Pegasus,Pegasus,TTPI,Trust Territory of the Pacific Islands,KMR,"US Army Kwajalein Atoll (USAKA), Marshall Islands",124.0,2000-10-10,595.0,1.95,LEO/E,Science,C,Commercial,2000
2000-062,2451829.47,2000-10-11,Space Shuttle,-,STS-92,ISS 3A,OV-103 ISS,-,MLP3,KSC,LC39A,-,-,375.0, ,    -, ,-,124.447,JSC/MSFC,OS,-,G,Sat ISS SR,Wire,-,-,LEO,SRB,Space Shuttle,US,United States,KSC,"NASA John F. Kennedy Space Center, Florida",100983.0,2000-10-13,311.0,51.57,LLEO/I,Other,C,Government,2000
2000-063,2451831.09,2000-10-13,Proton-K/DM-2,-,393-01,Kosmos-2374/2376,Uragan No. 83L,-,-,GIK-5,LC81/24,-,-,19127.0, ,    -, ,-,4.812,KHRU,OS,-,G,Sat MEO OO 3,NK0012-43,-,-,MEO,Proton,Proton,RU,Russia,GIK5,,3900.0,2000-10-14,19122.0,64.85,MEO,Communications,D,Eastern Military,2000
2000-064,2451834.39,2000-10-16,Soyuz-U-PVB,-,K 15000-085,Progress M-43,Progress 7K-TGM No. 243,-,-,GIK-5,LC1,-,-,228.0, ,    -, ,-,6.86,RAKA,OS,-,G,Sat LSS O,NK0012-34,-,-,LEO,R-7,Soyuz,RU,Russia,GIK5,,6860.0,2000-10-17,186.0,51.64,LLEO/I,Other,C,Eastern Government,2000
2000-065,2451837.53,2000-10-20,Atlas IIA,-,AC-140 MLV-9/IABS-8,USA 153 (DSCS3B-11),DSCS III B-11,-,-,CC,SLC36A,-,-,35800.0, ,    -, ,-,1.232,ILSL,OS,-,CG/G,Sat GTO O,Wire,-,-,GTO,Atlas,Atlas 2,US,United States,CC,Canaveral,1232.0,2001-01-01,35780.0,1.0,GEO/S,COM*,D,Military,2000
2000-066,2451838.74,2000-10-21,Zenit-3SL,-,6L/DM-SL-6L,SL5 Thuraya,Thuraya 1,45048-901,ODYSSEY,KLA,-,-,-,35806.0, ,    -, ,-,5.108,SEALP,OS,-,CO/C,Sat GTO O,Wire,-,-,GTO,Zenit,Zenit,KI,Kiribati,KLA,"Sea Launch Kiritimati Launch Area, Pacific Ocean",5108.0,2001-01-22,35765.0,6.13,GEO/I,Communications,B,Commercial,2000
